average value,vertical variance,horizonal variance,ratio as 2,target
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
363.9166667,740934.5455,656140.51,0.792,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
294.8148148,553485.5041,579028.6,0.815,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.2692308,616360.3306,673340.8275,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.0769231,626697.3223,682316.04,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
325.6538462,636481.2893,693580.5275,0.769,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
332,594082.595,676371.84,0.833,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
341.96,623475.4215,725845.4475,0.8,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
323.2962963,636164.4298,730772.8475,0.741,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
342.04,626987.1405,736311.1475,0.8,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
335.0769231,619669.6364,742747.94,0.769,0
346.68,639425.3554,733710.3275,0.76,0
346.68,639425.3554,733710.3275,0.76,0
346.68,639425.3554,733710.3275,0.76,0
346.68,639425.3554,733710.3275,0.76,0
346.68,639425.3554,733710.3275,0.76,0
346.68,639425.3554,733710.3275,0.76,0
346.68,639425.3554,733710.3275,0.76,0
346.68,639425.3554,733710.3275,0.76,0
